node     mean	sd	2.5%	97.5%	Rhat	n.eff
1	-0.1012	0.2557	-0.5965	0.3942	1.0011	14000
2	-0.1256	0.2586	-0.6313	0.3716	1.0013	6900
3	-0.1476	0.2569	-0.6536	0.3449	1.0012	10000
4	-0.1654	0.2589	-0.6708	0.3355	1.0011	13000
5	-0.1858	0.262	-0.6942	0.3113	1.0011	22000
6	-0.0782	0.2542	-0.5704	0.4114	1.001	27000
7	-0.1032	0.2561	-0.6009	0.3989	1.001	54000
8	-0.1207	0.2553	-0.6224	0.3666	1.0011	22000
9	-0.1412	0.2566	-0.6443	0.3501	1.001	54000
10	-0.1609	0.2615	-0.6728	0.3419	1.001	54000
11	-0.0552	0.2524	-0.5452	0.4285	1.001	54000
12	-0.073	0.2551	-0.5704	0.4148	1.0011	18000
13	-0.0955	0.2596	-0.6037	0.3944	1.001	28000
14	-0.1165	0.2559	-0.6183	0.3751	1.001	54000
15	-0.1359	0.259	-0.6435	0.3591	1.001	54000
16	-0.0253	0.2518	-0.5189	0.4606	1.0013	6100
17	-0.0485	0.2515	-0.5427	0.4351	1.0011	12000
18	-0.0661	0.2576	-0.5662	0.4282	1.0011	16000
19	-0.0896	0.2542	-0.5822	0.4005	1.001	49000
20	-0.1069	0.2557	-0.6111	0.3845	1.0012	8300
21	-3e-04	0.2546	-0.4965	0.4937	1.001	54000
22	-0.0196	0.2518	-0.5102	0.4681	1.0012	9000
23	-0.0428	0.2532	-0.5344	0.4505	1.001	54000
24	-0.0619	0.2513	-0.5557	0.42	1.001	54000
25	-0.0837	0.2565	-0.582	0.4144	1.0012	7500

# After thinning at 5
