node    50%	sd	2.5%	97.5%	Rhat	n.eff
1	0.0315	0.5074	1e-04	0.656	1.0014	7300   
2	0.0326	0.3553	2e-04	0.684	1.0012	9900
3	0.0331	0.3762	1e-04	0.6583	1.0031	5500
4	0.0335	0.313	2e-04	0.6834	1.001	54000
5	0.0345	0.5286	1e-04	0.6879	1.0011	14000  
6	0.0311	0.3431	1e-04	0.6452	1.0013	7000
7	0.0313	0.4555	1e-04	0.6398	1.0012	9700   
8	0.0323	0.3165	2e-04	0.6575	1.001	41000
9	0.0318	0.3264	1e-04	0.6555	1.0017	2800
10	0.0352	0.3252	2e-04	0.696	1.001	53000
11	0.0305	0.302	1e-04	0.6291	1.001	27000
12	0.0312	0.3149	2e-04	0.6298	1.001	28000
13	0.0316	0.3558	2e-04	0.6671	1.0011	13000  
14	0.031	0.3891	1e-04	0.6308	1.0011	12000
15	0.0322	0.3808	1e-04	0.6787	1.002	16000
16	0.0285	0.2535	1e-04	0.6039	1.0011	22000
17	0.0296	0.3408	2e-04	0.6039	1.001	54000
18	0.0306	0.4446	1e-04	0.6233	1.001	26000   
19	0.0313	0.3392	2e-04	0.6373	1.0011	16000
20	0.0317	0.3179	1e-04	0.6529	1.001	44000
21	0.0286	0.3708	2e-04	0.5988	1.0013	6500
22	0.0289	0.3832	1e-04	0.6073	1.0011	14000
23	0.0293	0.328	1e-04	0.5965	1.0012	9600
24	0.0294	0.3212	1e-04	0.6077	1.0018	5000
25	0.0316	0.3845	1e-04	0.6256	1.001	54000

# After thinning at 5
