node            mean	sd	2.5%	97.5%	Rhat	n.eff
LOR[2,1]	-0.9677	0.4258	-1.7815	-0.0925	1.0021	1700
LOR[3,1]	-0.6824	0.4109	-1.4854	0.1471	1.0025	1300
LOR[4,1]	-0.2802	0.2649	-0.7936	0.2487	1.001	27000
LOR[5,1]	-0.4869	0.28	-1.0245	0.0695	1.0014	4300
LOR[6,1]	-0.1129	0.2623	-0.6271	0.4	1.0014	4500
LOR[7,1]	-0.4539	0.1637	-0.7865	-0.1429	1.0013	5800
LOR[8,1]	-0.5115	0.1478	-0.8186	-0.2354	1.001	27000
LOR[3,2]	0.2853	0.4536	-0.6116	1.1862	1.001	27000
LOR[4,2]	0.6875	0.4611	-0.2618	1.5622	1.0021	1800
LOR[5,2]	0.4808	0.4772	-0.4798	1.398	1.0028	1100
LOR[6,2]	0.8548	0.4501	-0.0578	1.7141	1.0014	4800
LOR[7,2]	0.5138	0.4245	-0.3668	1.3155	1.0019	2000
LOR[8,2]	0.4562	0.4221	-0.4209	1.2512	1.002	1900
LOR[4,3]	0.4022	0.4423	-0.4905	1.2515	1.0024	1400
LOR[5,3]	0.1955	0.4565	-0.7215	1.0766	1.0032	870
LOR[6,3]	0.5696	0.431	-0.296	1.3932	1.0016	3300
LOR[7,3]	0.2285	0.4084	-0.609	1.0108	1.0022	1500
LOR[8,3]	0.1709	0.4029	-0.6644	0.9344	1.0024	1400
LOR[5,4]	-0.2067	0.3167	-0.828	0.4338	1.0014	4600
LOR[6,4]	0.1673	0.3387	-0.5026	0.8227	1.0013	5500
LOR[7,4]	-0.1737	0.271	-0.7217	0.3484	1.0013	5700
LOR[8,4]	-0.2314	0.2668	-0.7799	0.2711	1.001	21000
LOR[6,5]	0.374	0.3504	-0.3214	1.0506	1.002	1900
LOR[7,5]	0.033	0.2834	-0.5386	0.5791	1.0016	3000
LOR[8,5]	-0.0247	0.2807	-0.6044	0.4972	1.0015	3400
LOR[7,6]	-0.341	0.2752	-0.8847	0.1889	1.0012	7100
LOR[8,6]	-0.3987	0.2589	-0.917	0.0977	1.0013	6300
LOR[8,7]	-0.0576	0.1633	-0.3872	0.2578	1.0012	8200
LOR[2,1]	-1.0131	0.4462	-1.8774	-0.1018	1.0018	2400
LOR[3,1]	-0.7378	0.4269	-1.5678	0.1223	1.0013	5700
LOR[4,1]	-0.3202	0.2699	-0.8399	0.2196	1.0023	1400
LOR[5,1]	-0.525	0.2855	-1.0688	0.0549	1.0013	5900
LOR[6,1]	-0.1644	0.2692	-0.687	0.3695	1.0019	2100
LOR[7,1]	-0.4847	0.1714	-0.8313	-0.1599	1.0026	1200
LOR[8,1]	-0.5405	0.1519	-0.8561	-0.259	1.0018	2300
LOR[3,2]	0.2753	0.4577	-0.646	1.1802	1.0019	2100
LOR[4,2]	0.6929	0.4739	-0.2729	1.5969	1.0011	11000
LOR[5,2]	0.4881	0.4826	-0.4702	1.4304	1.0021	1800
LOR[6,2]	0.8487	0.4596	-0.0853	1.7294	1.0028	1100
LOR[7,2]	0.5284	0.4402	-0.3729	1.3674	1.0023	1500
LOR[8,2]	0.4727	0.4352	-0.4233	1.3003	1.0019	2000
LOR[4,3]	0.4176	0.4564	-0.5154	1.2963	1.0013	6200
LOR[5,3]	0.2128	0.4677	-0.7354	1.1175	1.0011	18000
LOR[6,3]	0.5734	0.4406	-0.3204	1.4189	1.0012	6800
LOR[7,3]	0.253	0.4204	-0.6081	1.0538	1.001	27000
LOR[8,3]	0.1973	0.417	-0.6648	0.9845	1.001	27000
LOR[5,4]	-0.2048	0.3202	-0.8369	0.4322	1.0022	1600
LOR[6,4]	0.1558	0.3343	-0.5014	0.8026	1.0029	1000
LOR[7,4]	-0.1645	0.2723	-0.7225	0.3563	1.0025	1300
LOR[8,4]	-0.2203	0.2666	-0.7696	0.2759	1.0021	1800
LOR[6,5]	0.3606	0.3466	-0.3231	1.0372	1.0011	18000
LOR[7,5]	0.0403	0.2846	-0.5401	0.5843	1.001	27000
LOR[8,5]	-0.0155	0.2798	-0.6004	0.502	1.001	26000
LOR[7,6]	-0.3203	0.2778	-0.8778	0.2143	1.0012	7900
LOR[8,6]	-0.3761	0.2618	-0.9063	0.1113	1.0015	3700
LOR[8,7]	-0.0557	0.1648	-0.3895	0.2609	1.0012	6800
LOR[2,1]	-1.0855	0.4466	-1.9416	-0.1712	1.002	1900
LOR[3,1]	-0.8073	0.4188	-1.621	0.0272	1.0016	3200
