t1	t2	t3	t4	r1	r2	r3	r4	m1	m2	m3	m4	n1	n2	n3	n4	na																						
1	4	NA	NA	3	0	NA	NA	1	0	NA	NA	8	8	NA	NA	2																						
1	4	NA	NA	51	45	NA	NA	27	19	NA	NA	139	142	NA	NA	2																						
1	7	NA	NA	47	28	NA	NA	23	9	NA	NA	143	135	NA	NA	2																						
1	8	NA	NA	41	45	NA	NA	18	12	NA	NA	191	279	NA	NA	2																						
1	7	NA	NA	18	11	NA	NA	8	7	NA	NA	50	47	NA	NA	2																						
1	7	NA	NA	41	38	NA	NA	29	22	NA	NA	135	132	NA	NA	2																						
1	8	NA	NA	156	198	NA	NA	77	66	NA	NA	371	550	NA	NA	2																						
1	7	NA	NA	68	52	NA	NA	28	20	NA	NA	207	201	NA	NA	2																						
1	7	8	NA	92	82	77	NA	37	20	10	NA	201	213	209	NA	3																						
1	4	7	5	79	77	63	68	69	68	45	52	181	168	160	165	4																						
1	6	NA	NA	75	117	NA	NA	59	92	NA	NA	220	425	NA	NA	2																						
1	4	7	5	73	79	65	71	59	49	57	53	185	183	177	178	4																						
1	2	6	3	53	26	38	35	90	62	64	59	205	198	201	208	4																						
8	7	NA	NA	30	36	NA	NA	29	41	NA	NA	328	325	NA	NA	2																						
1	6	NA	NA	34	35	NA	NA	39	30	NA	NA	217	215	NA	NA	2																						
1	8	NA	NA	296	255	NA	NA	111	75	NA	NA	915	914	NA	NA	2																						
8	6	NA	NA	4	14	NA	NA	1	1	NA	NA	70	69	NA	NA	2																						
1	5	NA	NA	24	11	NA	NA	4	8	NA	NA	73	67	NA	NA	2																						
1	7	5	NA	6	1	2	NA	5	1	3	NA	64	59	62	NA	3																						
1	7	NA	NA	24	20	NA	NA	32	26	NA	NA	143	144	NA	NA	2																						
1	8	NA	NA	35	19	NA	NA	33	18	NA	NA	195	200	NA	NA	2																						


## Names of interventions
# 1: placebo 
# 2: budesodine
# 3: budesodine plus formoterol
# 4: fluticasone
# 5: fluticasone plus salmeterol
# 6: formoterol
# 7: salmeterol
# 8: tiotropium
