node    50%	sd	2.5%	97.5%	Rhat	n.eff
1	0.0224	0.0271	0.0027	0.102	1.0014	4100
2	0.0239	0.0296	0.0031	0.109	1.001	27000
3	0.0243	0.0293	0.003	0.1086	1.0011	12000
4	0.025	0.0303	0.0031	0.1144	1.0012	7000
5	0.0267	0.031	0.0033	0.1181	1.0009	27000
6	0.0231	0.0295	0.0028	0.1081	1.0016	3200
7	0.0237	0.029	0.003	0.1083	1.0011	14000
8	0.0241	0.0288	0.003	0.1093	1.0013	4900
9	0.0259	0.0322	0.0033	0.1171	1.001	23000
10	0.0273	0.0313	0.0035	0.1202	1.001	27000
11	0.0244	0.03	0.003	0.1129	1.0021	1700
12	0.025	0.0302	0.0031	0.1145	1.0013	5900
13	0.0257	0.0298	0.0032	0.1137	1.0014	4700
14	0.027	0.0319	0.0035	0.1208	1.001	23000
15	0.028	0.0325	0.0036	0.1222	1.0013	5200
16	0.0269	0.0325	0.0034	0.1238	1.001	27000
17	0.0275	0.0325	0.0036	0.122	1.001	22000
18	0.0278	0.0332	0.0035	0.1243	1.0014	4000
19	0.029	0.0334	0.0036	0.1268	1.0011	14000
20	0.0297	0.0359	0.0036	0.129	1.0015	3300
21	0.0285	0.0335	0.0034	0.1277	1.0012	8500
22	0.0285	0.0329	0.0035	0.1245	1.001	27000
23	0.0296	0.0347	0.0037	0.1319	1.0016	2900
24	0.0306	0.035	0.004	0.1333	1.0024	1400
25	0.0305	0.034	0.0037	0.13	1.0012	7600
